"Sequence_Length","Count"
"225",86
"226",1
"227",5
"228",9
"229",8
"230",9
"231",3
"232",2
"233",4
"234",4
"235",4
"236",2
"237",3
"238",7
"239",2
"240",3
"241",4
"242",2
"243",1
"244",4
"245",1
"246",3
"247",4
"248",7
"249",3
"251",3
"253",8
"254",3
"255",3
"256",2
"257",1
"258",3
"259",4
"260",4
"261",3
"262",3
"263",2
"264",1
"265",4
"266",2
"267",1
"268",1
"269",1
"270",4
"271",2
"272",4
"273",1
"274",1
"276",1
"277",4
"279",1
"280",5
"281",4
"282",1
"283",3
"284",2
"285",7
"286",4
"288",4
"289",4
"291",2
"292",3
"293",1
"295",2
"296",2
"297",2
"298",3
"299",2
"300",4
"302",2
"303",2
"304",2
"305",3
"306",1
"307",3
"308",7
"311",1
"312",2
"313",2
"314",7
"315",3
"316",2
"317",3
"318",1
"319",1
"320",2
"321",2
"322",4
"323",2
"324",1
"325",2
"326",3
"327",4
"328",2
"329",1
"332",3
"333",1
"335",2
"336",2
"337",2
"338",1
"339",1
"340",3
"342",3
"343",2
"344",1
"345",4
"346",4
"347",1
"348",2
"349",3
"350",16
"351",1
"352",2
"354",2
"355",4
"356",1
"357",2
"358",8
"359",6
"360",4
"361",4
"362",1
"363",2
"364",2
"365",4
"366",3
"367",2
"369",3
"370",6
"371",4
"372",2
"373",6
"374",6
"375",3
"376",2
"377",2
"378",4
"379",2
"380",1
"381",4
"382",4
"385",2
"386",1
"387",3
"388",2
"389",2
"390",10
"391",5
"392",25
"393",15
"394",6
"395",13
"396",44
"397",6
"398",32
"399",415
"400",9
"401",19
"402",1082
"403",13
"404",19
"405",1044
"406",13
"407",34
"408",6119
"409",4
"410",8
"411",912
"412",1
"413",2
